ccode,year,oof_amt,oof_adj,oda_amt,oda_adj,vof_amt,vof_adj
750,2012,1086299115.7929902,1086299115.7929902,0,0,0,0
750,2013,714430669.963908,714430669.963908,0,0,0,0
750,2014,104800568.39838791,104800568.39838791,0,0,0,0
750,2015,72947912.0226318,72947912.0226318,0,0,518491313.145476,518491313.145476
750,2016,771455009.4458365,771455009.4458365,0,0,0,0
750,2017,92187052.5616779,92187052.5616779,0,0,0,0
750,2018,0,0,95590.8297232795,95590.8297232795,0,0
750,2019,112317263.98021728,112317263.98021728,689409.642245512,689409.642245512,0,0
770,2000,1283228364.39764,1283228364.3121467,22106049.001775663,22106049.001775663,0,0
770,2002,302007136.2451791,302007136.2451791,145370886.719438,145370886.719438,135562623.088109,135562623.088109
770,2003,702515297.5897483,702515297.5897483,152150269.84364554,152150269.84364554,0,0
770,2004,341647818.282995,341647818.282995,113882.606094331,113882.606094331,0,0
770,2005,117192600.879164,117192600.879164,512765199.6652923,512765199.6652923,0,0
770,2006,45231186.6378142,45231186.6378142,35730878.00641452,35730878.00641452,0,0
770,2007,544069.219047033,544069.219047033,15261357.111819895,15261357.111819895,0,0
770,2008,1261960751.034106,1261960751.08176,23557726.926526826,23557726.926526826,457375776.584715,457375776.6133073
770,2009,1781911864.7738094,1781911864.738724,304967292.0811975,304967292.0811975,751005024.137396,751005024.1023105
770,2010,2150760352.411417,2150760352.411417,472063657.01709324,472063657.01709324,0,0
770,2011,1295907528.756763,1295907528.756763,380651689.2378651,380651689.2378651,0,0
770,2012,930569510.553887,930569510.5616473,599252239.5511779,599252239.5560738,0,0
770,2013,2383468017.676998,1466169235.6081583,12557097.47767753,12557097.47767753,0,0
770,2014,2774190433.114846,1052727538.6298692,527955309.2489644,527955309.2489644,0,0
770,2015,14159347110.75911,11812669911.897234,538649837.8580489,538649837.8580489,0,0
770,2016,7950668968.555257,5583302697.255485,1161477424.2964594,1161477424.2964594,13430470.4780692,13430470.4780692
770,2017,15199222634.47413,13493936224.459604,523907850.6813468,523907850.6813468,14875393.3717214,14875393.3717214
770,2018,7062191865.0951,3766534210.7445955,47523643.63854534,47523643.63854534,0,0
770,2019,10514560729.36127,4995031196.798124,42222905.46379557,42222905.46379557,337069383.678641,337069383.678641
770,2020,12199574763.05657,6169776865.836111,130325846.51304378,130325846.51304378,0,0
770,2021,12692062790.69767,4040900000,89065019.2311809,89065019.2311809,0,0
771,2000,191260054.80001,191260054.80001,93004500.2172153,93004500.2172153,0,0
771,2001,802300992.759726,802300992.759726,0,0,0,0
771,2002,0,0,48316040.4551517,48316040.4551517,0,0
771,2005,49063764.5122744,49063764.5122744,63479924.043411,63479924.043411,0,0
771,2006,0,0,12743686.5640857,12743686.5640857,0,0
771,2007,0,0,4191169.8520825813,4191169.8520825813,0,0
771,2009,0,0,0,0,0,0
771,2010,139272693.579624,139272693.579624,40040623.4293063,40040623.4293063,0,0
771,2011,659215777.1989241,659215777.1989241,115928640.06355491,115928640.06355491,0,0
771,2013,218009028.4059156,218009028.4059156,157775390.523058,157775390.523058,0,0
771,2014,504060458.8602835,504060458.8602835,0,0,0,0
771,2015,190140928.9802796,190140928.9802796,257735086.35600433,257735086.35600433,0,0
771,2016,822124524.7948871,822124524.7948871,1231514721.9314973,1231514721.9314973,0,0
771,2017,607305255.5131932,607305255.5131932,364945579.66122764,364945579.66122764,0,0
771,2018,6363204003.774728,6363204003.774728,254930973.893128,254930973.893128,0,0
771,2019,2115419362.851841,2115419362.851841,430770066.36047786,430770066.36047786,0,0
771,2020,2743589391.791814,2743589391.791814,297887.72403305676,297887.72403305676,0,0
771,2021,1506547500,1506547500,73806201.55038759,73806201.55038759,0,0
775,2000,802081889.1667432,802081889.1667432,107302941.95902999,107302941.95902999,0,0
775,2001,238189590.01822567,238189590.01822567,0,0,30379273.350346,30379273.350346
775,2002,0,0,9059257.58534097,9059257.58534097,21138267.6991289,21138267.6991289
775,2003,487212748.075707,487212748.075707,151623529.41283748,151623529.41283748,0,0
775,2004,57936184.89236557,57936184.89236557,94381559.97977717,94381559.97977717,220144754.749028,220144754.749028
775,2005,89554679.1718278,89554679.1718278,62408695.432146214,62408695.432146214,0,0
775,2006,862993426.0516461,862993426.0516461,72066462.52511285,72066462.52511285,17841161.18972,17841161.18972
775,2007,1529417040.2957773,1529417040.2957773,78882313.59517252,78882313.59517252,0,0
775,2008,0,0,24714467.364633065,24714467.364633065,0,0
775,2009,87726197.9163215,87726197.9163215,399598229.5984059,399598229.5984059,0,0
775,2010,3667601491.088039,3667601491.088039,1939120072.5443928,1939120072.5443928,0,0
775,2011,420141516.7033252,420141516.7033252,9645355.90918622,9645355.90918622,0,0
775,2012,647926468.4642874,647926468.4642874,60317734.38494959,60317734.38494959,0,0
775,2013,331379913.8271503,331379913.8271503,50761.6448485425,50761.6448485425,18508823.7483308,18508823.7483308
775,2014,442838092.563394,442838092.563394,46526445.88691923,46526445.88691923,0,0
775,2015,189745693.3674518,189745693.3674518,19855968.10486748,19855968.10486748,0,0
775,2016,120152762.748015,120152762.748015,42785580.699031584,42785580.699031584,0,0
775,2017,317129569.0017199,317129569.0017199,14426965.234863734,14426965.234863734,121848236.723397,121848236.723397
775,2018,109153568.84581453,109153568.84581453,70073293.58980446,70073293.58980446,0,0
775,2019,112356461.226213,112356461.226213,14549584.482629113,14549584.482629113,0,0
775,2020,66733634.371187255,66733634.371187255,15280559.418687372,15280559.418687372,0,0
775,2021,126000000,126000000,165769570.3616901,165769570.3616901,0,0
780,2001,181046719.253758,181046719.253758,12653467.3862462,12653467.3862462,0,0
780,2005,651593391.380237,651593391.380237,57965505.42674864,57965505.42674864,0,0
780,2006,310852504.634949,310852504.634949,21330208.74291179,21330208.74291179,0,0
780,2007,551882491.363094,551882491.363094,129226137.978562,129226137.978562,0,0
780,2008,0,0,14070.834062907,14070.834062907,0,0
780,2009,1846270751.3393638,1846270751.3393638,8988178.479460608,8988178.479460608,0,0
780,2010,532359679.2323963,532359679.2323963,676507090.183719,676507090.183719,0,0
780,2011,767438306.2736522,767438306.2736522,619751963.943887,619751963.943887,0,0
780,2012,905335935.7877485,905335935.7877485,382031136.67693377,382031136.67693377,0,0
780,2013,359505249.1829004,359505249.1829004,340973531.90013146,340973531.90013146,0,0
780,2014,1154178086.289397,1154178086.289397,1170757911.584415,1170757911.584415,0,0
780,2016,406616875.21536326,406616875.21536326,432801996.66489387,432801996.66489387,0,0
780,2017,1098063029.825286,1098063029.825286,630802011.7290788,630802011.7290788,279557236.893288,279557236.893288
780,2018,1749632796.8971937,1749632796.8874161,92669997.54137853,92669997.54137853,0,0
780,2019,1432768469.9920654,1432768469.9920654,225872443.9983186,225872443.9983186,0,0
780,2020,0,0,664622158.0678103,664622158.0700686,156357180.334235,156357180.334235
780,2021,1860465116.279064,1860523672.2954226,611051483.021041,611051483.021041,0,0
781,2010,98964796.1512836,98964796.1512836,10287400.8473267,10287400.8473267,0,0
781,2011,0,0,0,0,0,0
781,2012,182856908.823838,182856908.823838,0,0,0,0
781,2014,0,0,31674081.248012565,31674081.248012565,0,0
781,2015,419549815.518041,419549815.518041,1698265.4059357662,1698265.4059357662,0,0
781,2016,89027022.7695055,89027022.7695055,210342018.7483512,210342018.7483512,0,0
781,2017,607687414.6349113,607687414.6349113,183509756.8362856,183509756.8362856,0,0
781,2018,188977978.0135176,188977978.0135176,781121.900540098,781121.900540098,0,0
781,2020,0,0,437241.686434665,437241.686434665,0,0
781,2021,0,0,5277958.33333333,5277958.33333333,0,0
790,2004,0,0,0,0,0,0
790,2007,0,0,67125030.51487124,67125030.51487124,0,0
790,2009,13186412.251845,13186412.251845,27151318.72764231,27151318.72764231,0,0
790,2010,0,0,9389207.322964443,9389207.322964443,0,0
790,2012,136350968.781928,136350968.781928,34798196.40685212,34798196.40685212,0,0
790,2013,0,0,122514425.3387187,122514425.3387187,0,0
790,2015,0,0,61922532.02199065,61922532.02199065,0,0
790,2016,0,0,319885408.3059533,319885408.3059533,0,0
790,2018,130168929.262259,130168929.262259,149300671.65675986,149300671.65675986,0,0
790,2019,71834095.3633278,71834095.3633278,48149094.81440162,48149094.81440162,0,0
